Metagenome	crAssGenomes	contig	total_length	contig_type
DonorB_D_2016	MH675552.1__Bacteroides_phage_crAss001	NODE_50800_length_1180_cov_1.73867	1184	Fragmented
DonorB_D_2016	MH675552.1__Bacteroides_phage_crAss001	NODE_54724_length_1117_cov_1.99058	1117	Fragmented
DonorB_D_2016	MH675552.1__Bacteroides_phage_crAss001	NODE_57714_length_1074_cov_1.91266	1079	Fragmented
DonorB_D_2016	MH675552.1__Bacteroides_phage_crAss001	NODE_58926_length_1058_cov_2.21535	1058	Fragmented
DonorB_D_2016	NC_024711.1__Uncultured_crAssphage	NODE_103_length_96717_cov_27.0934	93160	Complete
DonorB_D_May17	NC_024711.1__Uncultured_crAssphage	NODE_479_length_97496_cov_204.828	94481	Complete
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_1982_length_24842_cov_50.297454	2087	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_34518_length_2421_cov_2.865173	2466	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_43563_length_1979_cov_1.977131	1979	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_51312_length_1716_cov_3.246839	1750	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_584_length_59321_cov_44.183275	1303	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_60230_length_1493_cov_1.955494	1494	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_60812_length_1481_cov_2.154278	1481	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_69571_length_1317_cov_2.374010	1289	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_70346_length_1304_cov_2.200160	1304	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_76982_length_1201_cov_1.534031	1201	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_78372_length_1181_cov_2.731794	1181	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_81888_length_1136_cov_1.857539	1136	Fragmented
SHCM1_D	NC_024711.1__Uncultured_crAssphage	NODE_89694_length_1048_cov_1.965760	1006	Fragmented
SHCM2_D	NC_024711.1__Uncultured_crAssphage	NODE_29280_length_2269_cov_566.642728	1556	Fragmented
SHCM2_D	NC_024711.1__Uncultured_crAssphage	NODE_314_length_90997_cov_291.309692	88696	Complete
SHCM4_D	NC_024711.1__Uncultured_crAssphage	NODE_1257_length_24912_cov_177.044615	24235	Semi_complete
SHCM4_D	NC_024711.1__Uncultured_crAssphage	NODE_314_length_69070_cov_176.351373	67469	Semi_complete
